@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
364,'2018/10/10 10:47:21:535',4,542,245,0.5,1
365,'2018/10/10 10:47:21:552',4,542,245,0.5,1
366,'2018/10/10 10:47:21:569',4,542,245,0.5,1
367,'2018/10/10 10:47:21:585',4,542,245,0.5,1
368,'2018/10/10 10:47:21:603',4,542,245,0.5,1
369,'2018/10/10 10:47:21:619',4,542,245,0.5,1
370,'2018/10/10 10:47:21:636',4,542,245,0.5,1
371,'2018/10/10 10:47:21:652',4,542,245,0.5,1
372,'2018/10/10 10:47:21:669',4,542,245,0.5,1
373,'2018/10/10 10:47:21:685',4,542,245,0.5,1
374,'2018/10/10 10:47:21:702',4,542,245,0.5,1
375,'2018/10/10 10:47:21:717',4,542,245,0.5,1
376,'2018/10/10 10:47:21:734',4,542,245,0.5,1
377,'2018/10/10 10:47:21:751',4,542,245,0.5,1
378,'2018/10/10 10:47:21:767',4,542,245,0.5,1
379,'2018/10/10 10:47:21:783',4,542,245,0.5,1
380,'2018/10/10 10:47:21:799',4,542,245,0.5,1
381,'2018/10/10 10:47:21:817',4,542,245,0.5,1
382,'2018/10/10 10:47:21:837',4,542,245,0.5,1
383,'2018/10/10 10:47:21:852',4,542,245,0.5,1
384,'2018/10/10 10:47:21:871',4,542,245,0.5,1
385,'2018/10/10 10:47:21:885',4,542,245,0.5,1
386,'2018/10/10 10:47:21:902',4,542,245,0.5,1
387,'2018/10/10 10:47:21:919',4,542,245,0.5,1
388,'2018/10/10 10:47:21:934',4,542,245,0.5,1
389,'2018/10/10 10:47:21:951',4,542,245,0.5,1
390,'2018/10/10 10:47:21:967',4,542,245,0.5,1
391,'2018/10/10 10:47:21:984',4,542,245,0.5,1
392,'2018/10/10 10:47:22:000',4,542,245,0.5,1
393,'2018/10/10 10:47:22:016',4,542,245,0.5,1
394,'2018/10/10 10:47:22:035',4,542,245,0.5,1
395,'2018/10/10 10:47:22:051',4,542,245,0.5,1
396,'2018/10/10 10:47:22:068',4,542,245,0.5,1
397,'2018/10/10 10:47:22:087',4,542,245,0.5,1
398,'2018/10/10 10:47:22:103',4,542,245,0.5,1
399,'2018/10/10 10:47:22:119',4,542,245,0.5,1
400,'2018/10/10 10:47:22:137',4,542,245,0.5,1
401,'2018/10/10 10:47:22:152',4,542,245,0.5,1
402,'2018/10/10 10:47:22:169',4,542,245,0.5,1
403,'2018/10/10 10:47:22:186',4,542,245,0.5,1
404,'2018/10/10 10:47:22:202',4,542,245,0.5,1
405,'2018/10/10 10:47:22:218',4,542,245,0.5,1
406,'2018/10/10 10:47:22:235',4,542,245,0.5,1
407,'2018/10/10 10:47:22:252',4,542,245,0.5,1
408,'2018/10/10 10:47:22:272',4,542,245,0.5,1
409,'2018/10/10 10:47:22:285',4,542,245,0.5,1
410,'2018/10/10 10:47:22:301',4,542,245,0.5,1
411,'2018/10/10 10:47:22:318',4,542,245,0.5,1
412,'2018/10/10 10:47:30:264',5,564,126,1,1
413,'2018/10/10 10:47:30:281',5,564,126,1,1
414,'2018/10/10 10:47:30:297',5,564,126,1,1
415,'2018/10/10 10:47:30:314',5,564,126,1,1
416,'2018/10/10 10:47:30:331',5,564,126,1,1
417,'2018/10/10 10:47:30:347',5,564,126,1,1
418,'2018/10/10 10:47:30:363',5,564,126,1,1
419,'2018/10/10 10:47:30:380',5,564,126,1,1
420,'2018/10/10 10:47:30:397',5,564,126,1,1
421,'2018/10/10 10:47:30:416',5,564,126,1,1
422,'2018/10/10 10:47:30:433',5,564,126,1,1
423,'2018/10/10 10:47:30:450',5,564,126,1,1
424,'2018/10/10 10:47:30:467',5,564,126,1,1
425,'2018/10/10 10:47:30:483',5,564,126,1,1
426,'2018/10/10 10:47:30:499',5,564,126,1,1
427,'2018/10/10 10:47:30:516',5,564,126,1,1
428,'2018/10/10 10:47:30:532',5,564,126,1,1
429,'2018/10/10 10:47:30:547',5,564,126,1,1
430,'2018/10/10 10:47:30:563',5,564,126,1,1
431,'2018/10/10 10:47:30:580',5,564,126,1,1
432,'2018/10/10 10:47:30:596',5,564,126,1,1
433,'2018/10/10 10:47:30:614',5,564,126,1,1
